n,rep,alpha,lambda,theta
50,51,2.6437289742288685,3.1993433062920547,3.1447511158058887
50,52,1.7025181759412682,2.326339971274463,2.128499979524318
50,53,1.8833153958384865,2.5100439123129594,2.2612116845796573
50,54,1.640383064294236,2.454416444856964,2.232272567069314
50,55,2.9925818412970018,2.8460339856322876,2.7633507104794828
50,56,3.6288443860283017,3.8175135754296385,3.7935252975397225
50,57,1.6185859552031918,2.29326414271807,2.0413583930557215
50,58,2.2013476132415346,2.6986762520262455,2.5395642716731315
50,59,2.4623779723443464,3.0654259383208933,2.961255967202641
50,60,2.04744028055698,2.8404389801683125,2.6177434525272187
50,61,2.4033928809509226,2.834386515975691,2.6869874524086086
50,62,3.0042301399518014,2.965361163028345,2.906261812814349
50,63,2.416316513538617,2.5924175610982503,2.4807311536062158
50,64,2.353399781538142,3.071138676958328,2.8781115358971747
50,65,2.631531090279443,3.1110416535014966,2.9244248854803114
50,66,1.8126566163518016,2.6009422499387727,2.4046714980644586
50,67,4.0614221640645916,3.843600926047459,3.878203629496902
50,68,3.2389376652614734,2.967356438297058,2.948139546105117
50,69,2.263067021698256,2.8227403013973698,2.5822499803418695
50,70,2.81355771622654,2.9530754161756487,2.859283791037002
50,71,1.7950923298271697,2.4077283001782734,2.170337296235025
50,72,2.5992465958790834,3.066693819916893,2.94421743847042
50,73,2.248769965276312,2.95129105160061,2.733454408091473
50,74,2.1224992626270147,3.0739966143892987,2.8700517639250824
50,75,1.5803210931586236,2.27177326038763,2.016350078099233
50,76,1.8421479698584522,2.7727915207823925,2.5285681020724975
50,77,1.7440652110525972,2.6955312306590202,2.4329972110425433
50,78,2.247273939466834,2.6216322369519216,2.4709618839024157
50,79,1.6644416872969774,2.4453644984821175,2.2187446071061236
50,80,2.4776615772837864,2.915700578454884,2.751630536709141
50,81,1.954547312758844,2.944404561788336,2.68368849897971
50,82,1.5538160167064055,2.491242665183575,2.176969501244256
50,83,1.7457681352932595,2.5107302122303197,2.279315496672307
50,84,1.3517228457715764,2.566305216303296,2.3497218935296207
50,85,3.482621169020261,3.363180053441213,3.281612261569576
50,86,2.401372376005952,3.319631839960914,3.2016451210237924
50,87,2.380961412507847,2.9450734999435597,2.8395325802114395
50,88,1.6274705251835144,2.359477259122948,2.117508973317735
50,89,2.880075014438659,3.101629681716657,2.9991958561921965
50,90,2.4325258597871167,3.06044818652427,2.9053900797016428
50,91,3.0100810091314774,3.119278784841665,3.0446686480045417
50,92,4.354230657508127,3.7378597179225386,3.7407122841610145
50,93,3.2636612992615963,3.314837958609495,3.251161487044195
50,94,2.73077049041144,3.2092810053064293,3.1102579303493982
50,95,2.8743635613348677,2.949317409133625,2.8357384042730183
50,96,1.99737631763299,2.380975151312141,2.2135297349935867
50,97,2.5100772661721553,2.8726206251344695,2.735081635480014
50,98,3.234595578071104,3.862472934061242,3.8530961158450507
50,99,4.442080064649793,3.5170166658487902,3.486383110578355
50,100,4.978819398922951,4.542852929370147,4.621816220365655
50,101,2.346192718044896,2.5376113335007,2.3977893947756326
50,102,2.0626562211854536,2.481576134690303,2.2891897665498826
50,103,1.7934057553173528,2.607689224425437,2.329724222673231
50,104,2.02193004777439,2.4573425533525906,2.2661738568354517
50,105,1.8355195204788803,2.242203243883275,2.0496938540210157
50,106,1.865672390883411,2.4876386818228338,2.278221870769847
50,107,2.0407730266006716,2.439829939897872,2.2403556690352624
50,108,1.9946979806843297,2.5522124505995083,2.3317487450284546
50,109,1.46026666406526,2.509725862491991,2.1270704685662336
50,110,1.9427247367645608,2.70200954283854,2.4993131991187663
50,111,2.946810708609802,2.8122009087189737,2.72667778152473
50,112,2.059085496465297,2.5055610436952507,2.335595118843738
50,113,3.700584654392928,3.367132890697211,3.356709149214108
50,114,2.4770953121171853,2.787801736179704,2.640754041080068
50,115,1.6169395353021285,2.472889800694259,2.2674815401627852
50,116,3.0113601579581712,3.1973586035057417,3.1386613007171205
50,117,1.800245305577909,2.618598825629129,2.380061492844228
50,118,5.311626307098577,3.8667428404150104,3.9069293611239115
50,119,2.046181689810615,2.360404865104585,2.164876508313512
50,120,2.1873581535217466,2.722985143207737,2.5296455663838184
50,121,2.487703392102467,2.6843751087836,2.548846291389156
50,122,2.4621657759431326,2.705887566571592,2.5971331027649223
50,123,1.774143670610227,2.434604490092934,2.175496445504135
50,124,3.33120772587055,3.622817370462722,3.6076139032891943
50,125,1.7018812076533245,2.5269607334438753,2.231463151561427
50,126,2.507726930632777,2.490919504025304,2.3984706631208335
50,127,2.091264833761505,2.5734835029097427,2.371264377244908
50,128,2.451845792463393,3.4352856445656,3.3218668089644834
50,129,2.012867359709723,2.7331544588580967,2.5866176131329097
50,130,1.8440546873342814,2.451779837126912,2.2759962724623684
50,131,3.574919543283884,2.9784103330099523,2.9461185913093506
50,132,3.171386125374042,3.1565350345965904,3.095889362674778
50,133,2.2539435698101364,2.512309385753658,2.354467436688391
50,134,2.3565760696725078,2.605169566411796,2.4481349294803163
50,135,1.7115315578349934,2.4206521137187536,2.223455581656441
50,136,2.155441370209327,2.594820942549014,2.381633235135851
50,137,2.414190908769131,2.766879404575166,2.597434356800314
50,138,2.886042548341571,2.9692961271217864,2.8742093995169316
50,139,2.1535249454722565,2.588068676436402,2.4166279124907524
50,140,1.955549308372398,2.6335715164549107,2.4440295811166672
50,141,2.0393429904090414,2.7383081218298932,2.5808347898660653
50,142,1.7212366319326349,2.431587629233693,2.166211955161911
50,143,1.8100528302421062,2.3851237095817757,2.1531522225026394
50,144,2.4770724219005213,2.9371541921232716,2.8741856457623522
50,145,2.0737675566933396,2.940255396304163,2.7692712881536368
50,146,1.744543879141302,2.5072029753674503,2.2153438506262213
50,147,2.0505982066663258,2.7398448101117565,2.500811261690629
50,148,2.367100423319092,2.459203108075614,2.3235707752645056
50,149,2.0725185947547105,2.309392558687992,2.178973019646075
50,150,2.327439501277176,2.5131349764582653,2.355413624038357
50,151,2.9547339013920806,3.3629239905718324,3.270964857387343
50,152,1.7734799952774303,2.6910778495306387,2.39821983992441
50,153,1.6791730522329742,2.2050452022278666,2.0082599454183643
50,154,3.2976521286879286,3.3749319925992998,3.3397874602970647
50,155,2.7409365492232323,2.7955936856386474,2.7313093022668236
50,156,2.353852896730658,3.0613775099181106,2.899367697737445
50,157,3.464704982112037,2.903618445540375,2.846690040319656
50,158,3.080596749602132,3.539934604469282,3.5073915196405254
50,159,2.996564239161949,3.692683756956253,3.6010597387526304
50,160,5.896378288125534,4.652018687365479,4.733775380914676
50,161,2.1969863914955883,2.582341974281984,2.466500001181969
50,162,4.181681638327887,3.7759691395864023,3.7687289623988596
50,163,4.238652834060682,3.8267323668159103,3.868853545676951
50,164,1.8099880748743002,2.8290086045480787,2.55597376757235
50,165,2.732363334929292,3.368369725490199,3.296894606291492
50,166,2.220881815699534,2.7233482180281174,2.5598536613509597
50,167,2.2763508125985426,2.8384144273300556,2.648912379484537
50,168,2.289623586211811,2.879606122238333,2.736565221689381
50,169,2.4898078110107997,2.8897611202328215,2.742522960536579
50,170,2.6691101689595267,3.385859340825719,3.2107514916342206
50,171,2.783986774214561,2.922242224701126,2.798490182689536
