alpha,lambda,theta
7.504213855825991,1.3065983393614171,5.843648579795701
10.0,1.9422746593649884,8.75823091217044
10.0,2.2504693887727742,9.363307064695833
5.739108712438597,1.2360581364987657,4.874181511354664
10.0,1.8273728962446887,8.084158545664765
10.0,3.6772500498395497,10.0
10.0,2.242223238749372,10.0
10.0,1.7566839928541444,8.151422106520084
10.0,1.9821358523432862,9.542346678749867
7.950776301011678,1.5660953768074042,6.194833927040124
10.0,2.2093767568657867,10.0
10.0,1.9902769721942875,7.8987321991811035
10.0,2.7865078906890166,10.0
10.0,2.5946568581478915,10.0
7.49028268051537,1.1775342149577983,5.577726207081774
10.0,2.025127796972475,8.820347117458029
10.0,1.7967714730324793,7.373347042089639
9.546867821323898,1.597266124594301,6.723268796696441
10.0,1.1582948150683532,6.439560093522908
7.235424479986476,0.8588762298922031,5.2683899857412
10.0,1.691680284759461,8.503619676107506
8.771695899244651,1.5586007610738248,6.558073707500376
10.0,2.167903526562032,9.726752748465966
9.948309758812721,1.04252619848163,6.233953607937892
7.195162835450605,1.0950830569643972,5.489370942911703
9.508228106888774,2.023301362170517,7.082107889634555
10.0,2.1640561752628065,10.0
10.0,1.529707299783008,7.236735679903641
9.604325722443088,1.5802500543385771,6.6747279281214364
10.0,1.5727010975514393,8.431276061436067
6.685439799264485,1.1594029713843148,5.310206333498614
10.0,2.4955671111820066,10.0
10.0,1.4784590610804904,8.05927755221722
9.445951944267122,1.528563088602323,6.663019767935531
10.0,1.910385925047497,7.55073458673725
7.053208437521069,1.6267798812304124,5.743925597377249
9.455768257790904,1.7676527846739962,6.831902254069675
4.793575741793012,0.7551447849002965,4.221421466203257
8.632029901011121,1.3804293781582382,6.377167836798812
10.0,1.4019652992025673,7.697749020720744
10.0,2.1846699076390004,10.0
6.248067433003546,0.985443902836205,5.028820165736181
10.0,2.2210816157769657,10.0
10.0,2.010705866618007,9.767049962676634
10.0,2.49722959312924,8.84173728283744
8.801661875682798,1.1465885189365237,6.105157415847473
10.0,1.7744806423237145,7.585657755990543
7.813044615476441,1.2244742310894772,5.654004043667095
10.0,1.2743530837054922,7.053871543244512
10.0,2.146289393962673,9.48862877931951
5.887543082333416,1.0717093448230244,4.885871806632727
6.038686296857024,1.2170841312199263,5.036573952097608
5.308718549870319,0.9068088534441788,4.485549964240432
9.186637503094797,1.4056071080314876,6.486945125903747
10.0,2.4331729175408334,10.0
10.0,1.994791517594066,7.637574024515366
10.0,1.3296873748256661,7.293306701642593
8.869206988367722,1.624795009878221,6.777281350054382
10.0,1.390196417728196,6.779443494284209
10.0,1.5808179793074508,7.458451847350555
10.0,2.4054052548014058,10.0
8.970119868885641,1.5171480963547797,6.443481280738098
10.0,2.564732007667914,9.91863274036202
8.64285827741805,1.622984680854532,6.402760086233081
8.133506908583634,1.1965760857860865,5.788279131761441
10.0,3.7088849892452114,10.0
